		ps_drift_stdv_omf:,Drifting Buoy: Surface Pressure, (hPa) 
		bang_gps_stdv_omf:,GPSRO Bending Angle,(degree) 
		tv_raob_stdv_oma:,RADIOSONDE: Virtual temperature,(K) 
		qv_raob_stdv_oma:,RADIOSONDE: Specific humidity,(g/kg) 
		u_raob_stdv_oma:,RADIOSONDE: Zonal wind, (m/s) 
		v_raob_stdv_oma:,RADIOSONDE: Meridional wind, (m/s) 
		ps_raob_stdv_oma:,RADIOSONDE: Surface pressure,(hPa) 
		tv_acraft_stdv_oma:,AIRCRAFT: Virtual temperature,(K) 
		qv_acraft_stdv_oma:,AIRCRAFT: Specific humidity,(g/kg) 
		u_acraft_stdv_oma:,AIRCRAFT: Zonal wind,(m/s) 
		v_acraft_stdv_oma:,AIRCRAFT: Meridional wind,(m/s) 
		u_prof_stdv_oma:,PROFILER: Zonal wind,(m/s] 
		v_prof_stdv_oma:,PROFILER: Meridional wind,(m/s) 
		u_scat_stdv_oma:,SCATTEROMETER: Zonal wind,(m/s) 
		v_scat_stdv_oma:,SCATTEROMETER: Meridional wind,(m/s) 
		w_ssmi_stdv_oma:,SSMI: Wind speed,(m/s) 
		u_amv_stdv_oma:,ATMOS MOTION VECTORS: Zonal wind,(m/s) 
		v_amv_stdv_oma:,ATMOS MOTION VECTORS: Meridional wind,(m/s) 
		sst_sea_stdv_oma:,SEA SURFACE: Sea surface temperature,(K) 
		tv_sea_stdv_oma:,SEA SURFACE: Virtual temperature,(K) 
		ps_sea_stdv_oma:,SEA SURFACE: Surface pressure,(hPA) 
		u_sea_stdv_oma:,SEA SURFACE: Zonal wind,(m/s) 
		v_sea_stdv_oma:,SEA SURFACE: Meridional wind,(m/s) 
		qv_sea_stdv_oma:,SEA SURFACE: Specific humidity,(g/kg) 
		ps_land_stdv_oma:,LAND SURFACE: Surface pressure,(hPA) 
		ps_paob_stdv_oma:,PAOB SURFACE: Synthetic surface pressure,(hPA) 
		tv_drift_stdv_oma:,Drifting Buoy: Virtual Temperature,(K) 
		tv_mls_stdv_oma:,MLS:           Virtual Temperature,(K) 
		u_drift_stdv_oma:,Drifting Buoy: Zonal wind,(m/s) 
		v_drift_stdv_oma:,Drifting Buoy: Meridional wind,(m/s) 
		ps_drift_stdv_oma:,Drifting Buoy: Surface Pressure, (hPa) 
		bang_gps_stdv_oma:,GPSRO Bending Angle,(degree) 
                tv_raob_obrate,RADIOSONDE: Virtual temperature,(K)
                qv_raob_obrate,RADIOSONDE: Specific humidity,(g/kg)
                u_raob_obrate,RADIOSONDE: Zonal wind,(m/s)
                v_raob_obrate,RADIOSONDE: Meridional wind, (m/s)
                ps_raob_obrate,RADIOSONDE: Surface pressure,(hPa)
                tv_acraft_obrate,AIRCRAFT: Virtual temperature,(K)
                qv_acraft_obrate,AIRCRAFT: Specific humidity,(g/kg)
