sndrd2_g12,MERRA-2 Hourly Monthly Gridded Innovations and Observation SNDRD2_G12,M2_HOURLY_SNDRD2_G12,10.5067/MEASURES/MERRA2_HOURLY_SNDRD2_G12
sndrd2_g13,MERRA-2 Hourly Monthly Gridded Innovations and Observation SNDRD2_G13,M2_HOURLY_SNDRD2_G13,10.5067/MEASURES/MERRA2_HOURLY_SNDRD2_G13
sndrd2_g14,MERRA-2 Hourly Monthly Gridded Innovations and Observation SNDRD2_G14,M2_HOURLY_SNDRD2_G14,10.5067/MEASURES/MERRA2_HOURLY_SNDRD2_G14
sndrd2_g15,MERRA-2 Hourly Monthly Gridded Innovations and Observation SNDRD2_G15,M2_HOURLY_SNDRD2_G15,10.5067/MEASURES/MERRA2_HOURLY_SNDRD2_G15
sndrd3_g11,MERRA-2 Hourly Monthly Gridded Innovations and Observation SNDRD3_G11,M2_HOURLY_SNDRD3_G11,10.5067/MEASURES/MERRA2_HOURLY_SNDRD3_G11
sndrd3_g12,MERRA-2 Hourly Monthly Gridded Innovations and Observation SNDRD3_G12,M2_HOURLY_SNDRD3_G12,10.5067/MEASURES/MERRA2_HOURLY_SNDRD3_G12
sndrd3_g13,MERRA-2 Hourly Monthly Gridded Innovations and Observation SNDRD3_G13,M2_HOURLY_SNDRD3_G13,10.5067/MEASURES/MERRA2_HOURLY_SNDRD3_G13
sndrd3_g14,MERRA-2 Hourly Monthly Gridded Innovations and Observation SNDRD3_G14,M2_HOURLY_SNDRD3_G14,10.5067/MEASURES/MERRA2_HOURLY_SNDRD3_G14
sndrd3_g15,MERRA-2 Hourly Monthly Gridded Innovations and Observation SNDRD3_G15,M2_HOURLY_SNDRD3_G15,10.5067/MEASURES/MERRA2_HOURLY_SNDRD3_G15
sndrd4_g11,MERRA-2 Hourly Monthly Gridded Innovations and Observation SNDRD4_G11,M2_HOURLY_SNDRD4_G11,10.5067/MEASURES/MERRA2_HOURLY_SNDRD4_G11
sndrd4_g12,MERRA-2 Hourly Monthly Gridded Innovations and Observation SNDRD4_G12,M2_HOURLY_SNDRD4_G12,10.5067/MEASURES/MERRA2_HOURLY_SNDRD4_G12
sndrd4_g13,MERRA-2 Hourly Monthly Gridded Innovations and Observation SNDRD4_G13,M2_HOURLY_SNDRD4_G13,10.5067/MEASURES/MERRA2_HOURLY_SNDRD4_G13
sndrd4_g14,MERRA-2 Hourly Monthly Gridded Innovations and Observation SNDRD4_G14,M2_HOURLY_SNDRD4_G14,10.5067/MEASURES/MERRA2_HOURLY_SNDRD4_G14
sndrd4_g15,MERRA-2 Hourly Monthly Gridded Innovations and Observation SNDRD4_G15,M2_HOURLY_SNDRD4_G15,10.5067/MEASURES/MERRA2_HOURLY_SNDRD4_G15
sndr_g08_prep,MERRA-2 Hourly Monthly Gridded Innovations and Observation SNDR_G08_PREP,M2_HOURLY_SNDR_G08_PREP,10.5067/MEASURES/MERRA2_HOURLY_SNDR_G08_PREP
sndr_g10_prep,MERRA-2 Hourly Monthly Gridded Innovations and Observation SNDR_G10_PREP,M2_HOURLY_SNDR_G10_PREP,10.5067/MEASURES/MERRA2_HOURLY_SNDR_G10_PREP
sndr_g11_prep,MERRA-2 Hourly Monthly Gridded Innovations and Observation SNDR_G11_PREP,M2_HOURLY_SNDR_G11_PREP,10.5067/MEASURES/MERRA2_HOURLY_SNDR_G11_PREP
sndr_g12_prep,MERRA-2 Hourly Monthly Gridded Innovations and Observation SNDR_G12_PREP,M2_HOURLY_SNDR_G12_PREP,10.5067/MEASURES/MERRA2_HOURLY_SNDR_G12_PREP
ssmi_f08,MERRA-2 Hourly Monthly Gridded Innovations and Observation SSMI_F08,M2_HOURLY_SSMI_F08,10.5067/MEASURES/MERRA2_HOURLY_SSMI_F08
ssmi_f10,MERRA-2 Hourly Monthly Gridded Innovations and Observation SSMI_F10,M2_HOURLY_SSMI_F10,10.5067/MEASURES/MERRA2_HOURLY_SSMI_F10
